מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"49","דוד אלעזר 2","60","19/01/2023","560000","39518-82-1","דירה בבית קומות","3","ראשונה"
"50","הרמה 14","170","26/12/2022","1670000","39943-7-1","בית בודד","5","ראשונה"
"51","דוד אלעזר 1","60","19/12/2022","450000","39518-89-12","דירה בבית קומות","3","שלישית"
"52","השלווה 2","60","15/12/2022","490000","39518-79-13","דירה בבית קומות","3","רביעית"
"53","דוד אלעזר 1","60","08/12/2022","518000","39518-89-14","דירה בבית קומות","3","רביעית"
"54","הרמה 44","200","01/12/2022","1930000","39945-16-2","קוטג' דו משפחתי","5","ראשונה"
"55","דוד אלעזר 2","60","30/11/2022","475000","39518-82-22","דירה בבית קומות","3","שניה"
"56","הפסגה 58","204","24/11/2022","1865000","39942-43-1","דירה בבית קומות","7","ראשונה"
"57","דוגית 37","115.05","20/11/2022","1450000","39943-41-10","דירה בבית קומות","5","קרקע"
"58","דוד אלעזר 2","60","15/11/2022","585000","39518-82-28","דירה בבית קומות","3","שלישית"
"59","דוד אלעזר 2","60","14/11/2022","410000","39518-82-14","דירה בבית קומות","3","רביעית"
"60","דוד אלעזר 2","60","27/10/2022","540000","39518-82-13","דירה בבית קומות","3","רביעית"
"61","השלווה 18","76","24/10/2022","700000","39518-90-32","דירה בבית קומות","4","שמינית"
"62","השלווה 18","78","20/09/2022","630000","39518-90-23","דירה בבית קומות","4","שישית"
"63","הרכס 7","174","20/09/2022","2230000","39945-34-2","דירה בבית קומות","5","ראשונה"
"64","מרחבים 68","73","19/09/2022","495000","39518-102-11","דירה בבית קומות","4","שלישית"
"65","השלווה 2","60","19/09/2022","440000","39518-79-5","דירה בבית קומות","3","שניה"
"66","מרחבים 68","73","13/09/2022","400000","39518-102-31","דירה בבית קומות","4","רביעית"
"67","משה דיין 72","73","11/09/2022","545000","39518-104-5","דירה בבית קומות","4","שניה"
"68","משה דיין 72","73","06/09/2022","450000","39518-104-12","דירה בבית קומות","4","שלישית"
"69","השלווה 6","73","30/08/2022","450000","39518-80-12","דירה בבית קומות","4","שלישית"
"70","הפסגה 101","168","29/08/2022","1900000","400365-10-2","דירה בבית קומות","5","ראשונה"
"71","מרחבים 68","73","10/08/2022","400000","39518-102-13","דירה בבית קומות","3.5","רביעית"
"72","מרחבים 68","73","02/08/2022","520000","39518-102-9","דירה בבית קומות","4","שלישית"
"73","השלווה 6","73","01/08/2022","420000","39518-80-13","דירה בבית קומות","4","רביעית"
"74","השלווה 2","60","26/07/2022","400000","39518-79-30","דירה בבית קומות","3","רביעית"
"75","משה דיין 72","73","14/07/2022","450000","39518-104-14","דירה בבית קומות","4","רביעית"
"76","מרחבים 68","73","04/07/2022","400000","39518-102-25","דירה בבית קומות","4","שלישית"
"77","מרחבים 68","73","28/06/2022","380000","39518-102-15","דירה בבית קומות","4","רביעית"
"78","השלווה 2","60","27/06/2022","360000","39518-79-32","דירה בבית קומות","3","רביעית"
"79","דוד אלעזר 1","60","26/06/2022","450000","39518-89-22","דירה בבית קומות","3","שניה"
"80","השלווה 18","76","20/06/2022","500000","39518-90-1","דירה בבית קומות","4","ראשונה"
"81","דוגית 20","153.65","14/06/2022","1750000","39943-28-2","קוטג' חד משפחתי","5","קרקע, ראשונה"
"82","המעלה 1","216","25/05/2022","1850000","39517-74-2","דירה בבית קומות","6","ראשונה"
"83","המעפיל 60","187","17/05/2022","1870000","39941-4-2","בית בודד","7","ראשונה"
"84","דוד אלעזר 2","60","13/05/2022","505000","39518-82-4","דירה בבית קומות","3","ראשונה"
"85","הפסגה 43","348","04/05/2022","1425000","39517-21-1","קוטג' חד משפחתי","7","שלישית"
"86","השלווה 8","73","14/04/2022","160000","39518-81-5","דירה בבית קומות","4","שניה"
"87","מרחבים 68","73","13/04/2022","495000","39518-102-8","דירה בבית קומות","4","שניה"
"88","הפסגה 50","161","06/04/2022","1510000","39517-43-2","דירה בבית קומות","5","שניה"
"89","הפסגה 56","215","05/04/2022","1780000","39942-7-1","בית בודד","6","ראשונה"
"90","דוד אלעזר 2","60","29/03/2022","365000","39518-82-16","דירה בבית קומות","3","רביעית"
"91","המעלה 20","149","29/03/2022","1580000","39517-103-2","בית בודד","5","ראשונה"
"92","משה דיין 72","73","27/03/2022","405000","39518-104-24","דירה בבית קומות","4","שניה"
"93","דוד אלעזר 1","60","13/03/2022","380000","39518-89-29","דירה בבית קומות","3","רביעית"
"94","המעפיל 79","150","09/03/2022","1530000","39517-105-1","דירה בבית קומות","5","ראשונה"
"95","הרכס 14","225","02/03/2022","1800000","39945-50-1","דירה בבית קומות","5","ראשונה"
"96","מרחבים 68","73","20/02/2022","540000","39518-102-19","דירה בבית קומות","4","ראשונה"
"97","השלווה 18","76","06/02/2022","600000","39518-90-24","דירה בבית קומות","4","שישית"
"98","דוד אלעזר 2","60","03/02/2022","360000","39518-82-30","דירה בבית קומות","3","רביעית"
"99","הפסגה 87","157","02/02/2022","1790000","400365-10-1","קוטג' חד משפחתי","5","ראשונה"
"100","המעפיל 86","224","19/01/2022","1800000","39942-35-3","בית בודד","6","ראשונה"
"101","השלווה 2","60","16/01/2022","410000","39518-79-20","דירה בבית קומות","3","ראשונה"
"102","השלווה 18","78","27/12/2021","565000","39518-90-26","דירה בבית קומות","4","שביעית"
"103","הרמה 1","174","02/12/2021","1530000","39942-16-2","בית בודד","5","ראשונה"
"104","מרחבים 68","73","23/11/2021","510000","39518-102-18","דירה בבית קומות","4","ראשונה"
