מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
201,בית שמש,פסגת השבע,הגליל 13,97,2017,1600000,5232-14-25,דירה בבית,5,16495
202,בית שמש,פסגת השבע,הר מירון 23,155.8,2017,2620000,5215-4-14,דירה בבית,6,16816
203,בית שמש,פסגת השבע,הארבל 3,92,2017,1289000,5215-43-1,דירה בבית,4,14011
204,בית שמש,פסגת השבע,0,150,2017,2500000,5207-47-7,דירה בבית,6,16667
205,בית שמש,פסגת השבע,הגליל 14,85,2017,1470000,5232-5-9,דירה בבית,4,17294
206,בית שמש,פסגת השבע,החרמון 17,155.8,2017,2045000,5215-3-5,דירה בבית,7,13126
207,בית שמש,פסגת השבע,התבור 8,133.5,2017,1650000,5232-20-85,דירה בבית,5.5,12360
208,בית שמש,פסגת השבע,הגליל 15,100,2017,1160000,5232-14-45,דירה בבית,4,11600
209,בית שמש,פסגת השבע,החרמון 1,95.05,2017,1220000,5215-40-47,דירה בבית,5,12835
210,בית שמש,פסגת השבע,הרטוב 24,72.85,2017,1250000,5232-20-39,דירה בבית,3,17159
211,בית שמש,פסגת השבע,הגליל 14,85,2017,1200000,5232-5-4,דירת גן,4,14118
212,בית שמש,פסגת השבע,הגליל 6,82,2017,400000,5232-3-12,דירה בבית,4,4878
213,בית שמש,פסגת השבע,עליית הנוער 6,109.01,2017,1410000,5232-9-10,דירה בבית,4,12935
214,בית שמש,פסגת השבע,הגליל 11,91.1,2017,1300000,5232-13-36,דירה בבית,4,14270
215,בית שמש,פסגת השבע,הגליל 10,86,2017,1499000,5232-4-15,דירה בבית,4,17430
216,בית שמש,פסגת השבע,הארבל 10,107.5,2017,1350000,5215-2-6,דירה בבית,4,12558
217,בית שמש,פסגת השבע,התבור 8,92.3,2017,1210000,5232-20-79,דירה בבית,3.5,13109
218,בית שמש,פסגת השבע,מיטל 6,91.6,2017,1485000,5216-4-13,דירה בבית,4,16212
219,בית שמש,פסגת השבע,הרטוב 10,67.55,2017,1180000,5232-17-32,דירה בבית,3,17469
220,בית שמש,פסגת השבע,הגליל 15,105,2017,300000,5232-14-43,דירה בבית,5,2857
221,בית שמש,פסגת השבע,הגליל 11,92.3,2017,1300000,5232-13-45,דירה בבית,4,14085
222,בית שמש,פסגת השבע,0,310,2017,2799000,5207-47-8,דירה בבית,6,9029
